feature,feature_name,iv,quality_score,status,n_bins
Var_02,Assets Total,4.703760307949361,,OPTIMAL,7
Var_39,Working Capital,4.292729695504426,,OPTIMAL,12
Var_34,Tangible Net Worth,4.176578504633881,,OPTIMAL,13
Var_24,Profit Loss Before Tax,3.4545556550513004,,OPTIMAL,14
Var_17,IFRS_Assets Non Current Total,2.9074223583900802,,OPTIMAL,10
Var_36,Total Net Debt,2.7531873586251483,,OPTIMAL,13
Var_21,Liabilities Current Total,2.689938372063035,,OPTIMAL,13
Var_26,Receivables Current,2.47344108898542,,OPTIMAL,11
Var_29,Revenues,2.389012776176023,,OPTIMAL,13
Var_03,Cash And Cash Equivalents,2.3353596677779733,,OPTIMAL,10
Var_06,Depreciation And Impairment,2.0414035106126214,,OPTIMAL,7
Var_20,Interest Expense,2.0394377163711415,,OPTIMAL,8
Var_28,Return On Total Equity Reserve,0.26541631612776395,,OPTIMAL,10
Var_04,Current Ratio,0.10668548078342595,,OPTIMAL,10
Var_15,Gross Profit Margin,0.10221838390677483,,OPTIMAL,10
Var_35,Total Liabilities Total Assets,0.055424060779377234,,OPTIMAL,7
Var_05,Debt Net Worth,0.04925317412862176,,OPTIMAL,5
Var_06_missing_flag,Depreciation And Impairment (missing flag),0.04549285925813784,,OPTIMAL,2
Var_07,EBITDA Margin,0.043561209732053165,,OPTIMAL,10
