feature,feature_name,mean_non_default,mean_default,std_non_default,std_default,median_non_default,median_default,smd,abs_smd
Var_06_missing_flag,Depreciation And Impairment (missing flag),0.07567435726029377,0.14080664294187425,0.2644775619940375,0.34784261540317374,0.0,0.0,0.21079465697854433,0.21079465697854433
Var_18,IFRS_Assets Total,1367485634.778345,280968306052.82367,40593296220.753174,2609998863474.781,3551415.77094444,1426356257.77,0.1514818500049094,0.1514818500049094
Var_02,Assets Total,1367485634.778345,280968306052.82367,40593296220.753174,2609998863474.781,3551415.77094444,1426356257.77,0.1514818500049094,0.1514818500049094
Var_11,Equity And Liabilities Total,1369076753.6789258,280944506170.2747,40597505306.29046,2609992496139.497,3552926.9827909954,1420447376.7887402,0.15146845932743166,0.15146845932743166
Var_19,IFRS_Equity And Liabilities Total,1369076753.6789258,280944506170.2747,40597505306.29046,2609992496139.497,3552926.9827909954,1420447376.7887402,0.15146845932743166,0.15146845932743166
Var_30,Sales Excluding VAT,1284055875.1832492,203511752547.82196,44734285853.78782,1978044830934.937,3840612.398257055,857106163.556011,0.14454679608663312,0.14454679608663312
Var_29,Revenues,1283744632.30982,213529313348.1892,44733802785.67241,2082880887585.3254,3862540.04792823,857290683.166357,0.14407514227588114,0.14407514227588114
Var_04_missing_flag,Current Ratio (missing flag),0.010262154691141665,0.0,0.10078161849160829,0.0,0.0,0.0,-0.14400322757856543,0.14400322757856543
Var_25_missing_flag,Quick Ratio (missing flag),0.010262154691141665,0.0,0.10078161849160829,0.0,0.0,0.0,-0.14400322757856543,0.14400322757856543
Var_17,IFRS_Assets Non Current Total,886366313.5439651,232503441732.24838,22693879139.253376,2447477937136.882,1638385.2787706451,651137643.443258,0.13382834803453358,0.13382834803453358
Var_12,Equity And Reserves,291668487.46417004,144323350945.09897,6935902826.006883,1539906342203.8225,1116223.7633181252,510966343.582789,0.13227394877776757,0.13227394877776757
Var_34,Tangible Net Worth,126555686.2729879,121209648144.95796,16056224497.590984,1402760273610.1824,841074.0160615984,308825589.335954,0.12206371861922426,0.12206371861922426
Var_10,Eff Tang Net Worth Actual,129745990.00236505,124144468486.20753,16041510455.974571,1448259463048.4006,878646.539349621,311206161.96893895,0.12109193783721406,0.12109193783721406
Var_21_missing_flag,Liabilities Current Total (missing flag),0.008690310574716796,0.0005931198102016608,0.09281630729554116,0.024348271887869432,0.0,0.0,-0.1193366012434928,0.1193366012434928
Var_38_missing_flag,Trade And Other Payables Current (missing flag),0.099640463242335,0.06892052194543298,0.2995213711203841,0.2533339627059588,0.0,0.0,-0.11074613004130235,0.11074613004130235
Var_16,IFRS_Assets Current Total,413226013.68571156,149297194529.1237,9693625865.839163,1950741131653.4624,1349945.8007844398,502580488.17989147,0.10793391523268003,0.10793391523268003
Var_01,Assets Current Total,413226013.68571156,149297194529.1237,9693625865.839163,1950741131653.4624,1349945.8007844398,502580488.17989147,0.10793391523268003,0.10793391523268003
Var_26,Receivables Current,159673967.38618422,54081044914.709305,2860279086.0721936,711168884692.5693,594501.2077759035,147206265.83693552,0.10722589104049918,0.10722589104049918
Var_28_missing_flag,Return On Total Equity Reserve (missing flag),0.05945003523098882,0.0368920521945433,0.23646613640472416,0.18850794150606767,0.0,0.0,-0.10549209081053626,0.10549209081053626
Var_35_missing_flag,Total Liabilities Total Assets (missing flag),0.005474353646859022,0.0,0.07378640987186066,0.0,0.0,0.0,-0.1049231855304985,0.1049231855304985
Var_21,Liabilities Current Total,615245758.0962187,115676014786.55771,23156621844.33609,1597439848966.613,925281.33431215,286662380.31893003,0.10185260252694649,0.10185260252694649
Var_36,Total Net Debt,532388340.9828348,97624061053.04633,22538160721.11528,1465432562102.0015,534054.6548288281,114302053.890237,0.09368709778177223,0.09368709778177223
Var_32,Senior Net Debt,529197811.77666897,94689240480.22388,22519630710.789204,1446523496001.5847,508384.312660769,111660487.894105,0.09204570521076749,0.09204570521076749
Var_14,Gross Profit,327264143.87417185,73421796496.57077,9964258279.883944,1156849571988.9539,1568385.994446475,246755441.8226565,0.0893525374675591,0.0893525374675591
