feature,feature_name,iv,quality_score,status,n_bins
Var_19,IFRS_Equity And Liabilities Total,4.7014799469215305,,OPTIMAL,6
Var_28,Return On Total Equity Reserve,0.2667408965732411,,OPTIMAL,10
Var_15,Gross Profit Margin,0.10445050071732356,,OPTIMAL,11
Var_04,Current Ratio,0.1016003446383352,,OPTIMAL,7
Var_33,Senior Net Debt EBITDA,0.06879529267483638,,OPTIMAL,11
Var_23,Net Profit Margin,0.06779928079362843,,OPTIMAL,9
Var_35,Total Liabilities Total Assets,0.06402597477738632,,OPTIMAL,9
Var_07,EBITDA Margin,0.04867504702722019,,OPTIMAL,8
Var_06_missing_flag,Depreciation And Impairment (missing flag),0.041037895466617715,,OPTIMAL,2
Var_05,Debt Net Worth,0.04050613198423884,,OPTIMAL,5
