feature,feature_name,iv,quality_score,status,n_bins
Var_19,IFRS_Equity And Liabilities Total,4.7014799469215305,,OPTIMAL,6
Var_39,Working Capital,4.247176810434801,,OPTIMAL,11
Var_22,Net Profit,3.2660775802077118,,OPTIMAL,16
Var_21,Liabilities Current Total,2.5992763510364494,,OPTIMAL,13
Var_26,Receivables Current,2.3949630128376382,,OPTIMAL,12
Var_03,Cash And Cash Equivalents,2.3420235142857297,,OPTIMAL,8
Var_06,Depreciation And Impairment,1.976249199730275,,OPTIMAL,7
Var_20,Interest Expense,1.9629519988504402,,OPTIMAL,7
Var_28,Return On Total Equity Reserve,0.2667408965732411,,OPTIMAL,10
Var_15,Gross Profit Margin,0.10445050071732356,,OPTIMAL,11
Var_04,Current Ratio,0.1016003446383352,,OPTIMAL,7
Var_33,Senior Net Debt EBITDA,0.06879529267483638,,OPTIMAL,11
Var_23,Net Profit Margin,0.06779928079362843,,OPTIMAL,9
Var_35,Total Liabilities Total Assets,0.06402597477738632,,OPTIMAL,9
Var_07,EBITDA Margin,0.04867504702722019,,OPTIMAL,8
Var_06_missing_flag,Depreciation And Impairment (missing flag),0.041037895466617715,,OPTIMAL,2
Var_05,Debt Net Worth,0.04050613198423884,,OPTIMAL,5
Var_38_missing_flag,Trade And Other Payables Current (missing flag),0.012974712863416255,,OPTIMAL,2
Var_28_missing_flag,Return On Total Equity Reserve (missing flag),0.010374297179620304,,OPTIMAL,2
Var_20_missing_flag,Interest Expense (missing flag),0.003700540524654399,,OPTIMAL,2
Var_03_missing_flag,Cash And Cash Equivalents (missing flag),0.0,,OPTIMAL,2
Var_02_missing_flag,Assets Total (missing flag),0.0,,OPTIMAL,2
Var_01_missing_flag,Assets Current Total (missing flag),0.0,,OPTIMAL,2
Var_10_missing_flag,Eff Tang Net Worth Actual (missing flag),0.0,,OPTIMAL,2
Var_09_missing_flag,Earnings Before Interest Tax And Depreciation (missing flag),0.0,,OPTIMAL,2
Var_08_missing_flag,Earnings Before Interest And Tax (missing flag),0.0,,OPTIMAL,2
Var_12_missing_flag,Equity And Reserves (missing flag),0.0,,OPTIMAL,2
Var_17_missing_flag,IFRS_Assets Non Current Total (missing flag),0.0,,OPTIMAL,2
Var_21_missing_flag,Liabilities Current Total (missing flag),0.0,,OPTIMAL,2
Var_14_missing_flag,Gross Profit (missing flag),0.0,,OPTIMAL,2
Var_13_missing_flag,Financial Leverage (missing flag),0.0,,OPTIMAL,2
Var_26_missing_flag,Receivables Current (missing flag),0.0,,OPTIMAL,2
Var_24_missing_flag,Profit Loss Before Tax (missing flag),0.0,,OPTIMAL,2
Var_30_missing_flag,Sales Excluding VAT (missing flag),0.0,,OPTIMAL,2
Var_27_missing_flag,Return On Assets (missing flag),0.0,,OPTIMAL,2
Var_31_missing_flag,Sales Total Assets (missing flag),0.0,,OPTIMAL,2
Var_35_missing_flag,Total Liabilities Total Assets (missing flag),0.0,,OPTIMAL,2
Var_37_missing_flag,Total Net Debt EBITDA (missing flag),0.0,,OPTIMAL,2
Var_39_missing_flag,Working Capital (missing flag),0.0,,OPTIMAL,2
