,shap,lgb_gain,iv,readable_name,shap_rank,lgb_rank,iv_rank
Var_02,0.9596645037362488,2711516.658979416,4.766784291592028,Assets Total,1,1,1
Var_18,0.11631918514566601,316476.12955093384,,Var_18,2,2,61
Var_25,0.07553203888041773,180441.69454875216,,Var_25,3,3,61
Var_12,0.04727370031628339,102192.62428447604,,Var_12,4,4,61
Var_04,0.04356240547032556,60208.90560129285,0.1162500028782132,Current Ratio,5,5,15
Var_39,0.03234479437194757,27845.533692896366,4.337604408789566,Working Capital,6,9,2
Var_11,0.026163765285103467,58395.49975991249,,Var_11,7,6,61
Var_19,0.022404866735054863,52597.21112251282,,Var_19,8,8,61
Var_08,0.01244965565401829,20185.728595733643,,Var_08,9,10,61
Var_03,0.011364944687828634,52643.26655960083,2.354365013754067,Cash And Cash Equivalents,10,7,10
Var_13,0.008636433510232399,6493.829659879208,0.0151823914652979,Financial Leverage,11,12,22
Var_17,0.007985777514759962,2538.067943930626,2.927322006931151,IFRS_Assets Non Current Total,12,17,5
Var_01,0.005393796253137804,10450.164669305086,,Var_01,13,11,61
Var_01_missing_flag,0.004885772745978899,1923.7757406234741,,Var_01 (missing),14,20,61
Var_34,0.0047880080653384775,5537.769961357117,,Var_34,15,14,61
Var_10,0.003974761530861934,5944.435371130705,4.197576666946143,Eff Tang Net Worth Actual,16,13,3
Var_38,0.0026530152252811517,4892.61559677124,,Var_38,17,15,61
Var_35,0.00189493286441854,3340.7053656578064,0.0645719675920004,Total Liabilities Total Assets,18,16,17
Var_05,0.0016386893077929966,2385.8567066192627,,Var_05,19,19,61
Var_21,0.0014646703481973737,803.0023083686829,2.7313888914390048,Liabilities Current Total,20,27,7
